雫石スキー場,岩手県岩手郡雫石町高倉温泉,019-693-1111,gelande248,39.7756791,140.9304182,し,雫石スキー
岩手高原スノーパーク,岩手県岩手郡雫石町長山岩手山,019-693-4000,gelande249,39.8139759,140.966286,い,岩手高原スノー OR from:iwatekogen
夏油高原スキー場,岩手県北上市和賀町岩崎新田字畑入山国有林内,0197-65-9000,gelande250,39.2371114,140.9061711,け,夏油高原 OR from:geto_kogen
八幡平リゾートパノラマスキー場＆下倉スキー場,岩手県八幡平市八幡平温泉郷,0195-78-4111,gelande251,39.8988836,140.9571504,は,八幡平リゾート OR 下倉スキー OR 八幡平パノラマ
安比高原,岩手県八幡平市安比高原,0195-73-5111,gelande252,40.012584,140.997294,あ,安比高原 OR 安比スキー OR from:appi_kogen
くのへスキー場,岩手県九戸郡九戸村伊保内18-41-6,0195-42-2366,gelande253,40.1943598,141.4086785,く,くのへスキー OR 九戸スキー
奥中山高原スキー場,岩手県二戸郡一戸町奥中山西田子662-1,0195-35-3131,gelande254,40.0848869,141.1899028,お,奥中山高原
網張温泉スキー場,岩手県岩手郡雫石町網張温泉,019-693-2211,gelande255,39.8212432,140.9362505,あ,網張温泉スキー
平庭高原スキー場,岩手県久慈市山形町来内22-13-1,0194-72-2944,gelande256,40.0828844,141.5030567,ひ,平庭高原スキー
花巻市鉛温泉スキー場,岩手県花巻市鉛中平36-1,0198-25-2711,gelande257,39.4630445,140.9932603,は,鉛温泉スキー
ひめかゆスキー場,岩手県奥州市胆沢区若柳天沢17,0197-49-2105,gelande258,39.1177484,140.9375269,ひ,ひめかゆスキー
田山スキー場,岩手県八幡平市矢神8-1,0195-73-2650,gelande259,40.1347025,140.9515095,た,田山スキー
奥州市 越路スキー場,岩手県奥州市江刺区伊手阿原山1-407,0197-39-2105,gelande260,39.1546801,141.3592515,お,越路スキー
赤羽根スキー場,岩手県遠野市上郷町平倉41-47,0198-65-3343,gelande261,39.2471288,141.5935591,あ,赤羽根スキー
北上市民和賀スキー場,岩手県北上市和賀町山口2地割,0197-72-3310,gelande262,39.2955952,140.971427,き,和賀スキー
西和賀町営湯田スキー場,岩手県和賀郡西和賀町湯之沢35地割内,0197-82-2410,gelande263,39.3368384,140.7839738,に,湯田スキー
志賀来スキー場,岩手県和賀郡西和賀町沢地大野17-165,0197-85-2914,gelande264,39.3966606,140.7706264,し,志賀来スキー
国見平スキー場,岩手県奥州市衣川区長塚303,0197-52-6411,gelande265,39.0524973,140.968672,く,国見平スキー
