セントレジャー舞子スノーリゾート,新潟県南魚沼市舞子2056-108,025-783-3211,gelande267,36.9874882,138.8319744,せ,セントレジャー舞子 OR 舞子スキー OR 舞子スノー OR from:maiko_snow
神立高原スキー場,新潟県南魚沼郡湯沢町神立4121-1,025-784-3933,gelande268,36.9113356,138.8129963,か,神立高原 OR 神立スキー OR from:KandatsuPegasus
かぐらスキー場,新潟県南魚沼郡湯沢町三俣742,025-788-9221,gelande269,36.8931422,138.7752475,か,神楽スキー OR かぐらスキー OR 5ロマ OR 田代エリア OR 神楽ヶ峰 OR 神楽峰 OR 雁ヶ峰 OR かぐら中尾根 OR from:BLACKDIAMOND_94 OR from:powder_station OR from:KaguraBCguides
ＮＡＳＰＡスキーガーデン,新潟県南魚沼郡湯沢町湯沢2117-9,025-780-6888,gelande270,36.9264782,138.8103548,な,NASPAスキー OR ナスパスキー
湯沢中里スキー場,新潟県南魚沼郡湯沢町土樽5044-1,025-787-3301,gelande271,36.9097619,138.849013,ゆ,湯沢中里
上越国際スキー場,新潟県南魚沼市樺野沢112-1,025-782-1028,gelande272,37.0195277,138.7282763,し,上国 OR 上越国際
湯沢高原スキー場,新潟県南魚沼郡湯沢町大字湯沢490,025-784-3326,gelande273,36.9409985,138.8015221,ゆ,湯沢高原 OR アルプの里 OR from:yuzawakogen
六日町スキーリゾート,新潟県南魚沼市小栗山2910-114,025-773-3311,gelande274,37.0724259,138.8446704,む,六日町スキー
GALA湯沢スキー場,新潟県南魚沼郡湯沢町大字湯沢字茅平1039-2,025-785-6543,gelande275,36.9505891,138.7996279,か,GALA湯沢 OR ガーラ湯沢 OR from:GALA_yuzawa
苗場スキー場,新潟県南魚沼郡湯沢町三国,025-789-2211,gelande276,36.7896589,138.7991452,な,#naeba OR 苗場 OR 浅貝 OR ドラゴンドラ OR from:Naebanow OR from:naeba_woody OR from:bluewindypark OR from:malibupark
ニュー・グリーンピア津南スキー場,新潟県中魚沼郡津南町秋成12300,025-765-4611,gelande277,36.9600777,138.6869262,に,グリーンピア津南
六日町八海山スキー場,新潟県南魚沼市山口1610,025-775-3311,gelande278,37.1079474,138.9777171,む,六日町八海山 OR 八海山スキー OR 八海山ロープ
岩原スキー場,新潟県南魚沼郡湯沢町大字土樽731-79,025-787-3211,gelande279,36.9330283,138.8402076,い,岩原スキー OR from:iwappara
とちおグレステンスキー場,新潟県長岡市栃堀高波沢8092,0258-58-2120,gelande280,37.4377777,139.0394658,と,とちおグレステン OR グレステンスキー
マウンテンパーク津南スキー場,新潟県中魚沼郡津南町上郷上田甲1745-1,025-765-2040,gelande281,37.0250136,138.6195693,ま,マウンテンパーク津南 OR マンパク OR from:mptsunan
胎内スキー場,新潟県胎内市熱田坂長崎野881-166,0254-48-3002,gelande282,38.0066257,139.4956918,た,胎内スキー
湯沢パークスキー場,新潟県南魚沼郡湯沢町小坂,025-787-4111,gelande283,36.9260768,138.8603005,ゆ,湯沢パーク
加山キャプテンコーストスキー場,新潟県南魚沼郡湯沢町土樽2550,025-787-6611,gelande284,36.9293958,138.871866,か,加山キャプテン
シャトー塩沢スキー場,新潟県南魚沼市吉里1562,025-782-1191,gelande285,37.0480394,138.8289943,し,シャトー塩沢
石打丸山スキー場,新潟県南魚沼市石打1782-2,025-783-5571,gelande286,36.9765447,138.7943865,い,石打丸山 OR ハツカ石 OR from:Ishimarukun_IM OR from:ishiuchi_SSP_
奥只見丸山スキー場,新潟県魚沼市湯之谷芋川大鳥1317-3,025-795-2750,gelande287,37.1619997,139.2478317,お,奥只見 OR from:okutadami_co
